0.668112	0.711298	Emberiza citrinella
\	4471.336426	6749.386719
1.366707	1.643605	Erithacus rubecula
\	4663.577148	8917.960938
1.846833	1.900180	Emberiza citrinella
\	4663.577148	6417.145508
4.186494	4.227139	Emberiza citrinella
\	4663.577148	7168.616211
4.692023	5.004486	Erithacus rubecula
\	4614.858398	8658.240234
5.807236	5.860583	Emberiza citrinella
\	4702.559082	6858.612305
7.466084	7.956371	Erithacus rubecula
\	4712.744141	8405.531250
8.776903	8.842952	Emberiza citrinella
\	4233.811035	11527.903320
10.852368	10.905715	Emberiza citrinella
\	4014.917236	6078.627930
11.327413	11.810079	Erithacus rubecula
\	4702.559082	8957.573242
12.915130	12.960857	Erithacus rubecula
\	4509.939453	7501.956055
14.086231	14.454582	Spinus spinus
\	3232.240967	4751.816406
14.899142	14.944869	Emberiza citrinella
\	4557.440918	6790.321777
16.009275	16.182018	Spinus spinus
\	3605.831787	5324.206055
