2.544705	2.650534	Ixobrychus minutus
\	1965.175659	2349.132324
9.394724	9.505364	Ixobrychus minutus
\	1778.862793	2317.727539
13.849161	13.969421	Ixobrychus minutus
\	1653.811157	2511.124268
14.700603	14.840105	Ixobrychus minutus
\	1653.811157	2286.647217
15.378870	15.513562	Ixobrychus minutus
\	1728.063965	2286.647217
16.365004	16.494885	Ixobrychus minutus
\	1378.822632	2578.305664
17.158721	17.259739	Ixobrychus minutus
\	1753.332153	2317.727539
18.462341	18.597033	Ixobrychus minutus
\	1653.811157	2935.895264
