4.069182	4.163288	Fringilla coelebs
\	2536.340820	3840.247559
4.573594	4.633823	Fringilla coelebs
\	2536.340820	3672.636230
8.228706	8.288934	Fringilla coelebs
\	2702.795166	3840.247559
8.367984	8.450798	Fringilla coelebs
\	2745.729492	4133.997070
10.965334	11.051912	Fringilla coelebs
\	2745.729492	4194.989258
11.443397	11.529975	Fringilla coelebs
\	2745.729492	4014.282227
14.044511	14.123561	Fringilla coelebs
\	2456.192627	4073.764160
17.481294	17.552816	Fringilla coelebs
\	2618.524658	3355.749268
18.124985	18.211564	Fringilla coelebs
\	2577.175049	3618.151855
19.604346	19.694688	Fringilla coelebs
\	2536.340820	3511.213867
