0.201545	0.407121	Anas platyrhynchos
\	1529.509277	2811.427490
0.822304	0.906953	Gallinula chloropus
\	2335.337891	2664.131104
0.906953	1.084313	Anas platyrhynchos
\	1529.509277	2902.883301
1.132684	1.205240	Gallinula chloropus
\	2283.751465	2635.421143
1.515619	1.580114	Gallinula chloropus
\	2158.589844	2468.237793
1.632516	1.785690	Anas platyrhynchos
\	1687.737549	2693.087402
1.813906	1.878401	Gallinula chloropus
\	2258.288574	2606.956787
2.168626	2.237151	Gallinula chloropus
\	2134.195068	2387.815430
2.329862	2.515283	Anas platyrhynchos
\	1729.019043	2414.393799
3.059455	3.256969	Anas platyrhynchos
\	1364.000854	2387.815430
3.643936	3.926099	Clamator glandarius
\	1243.814575	2996.721191
3.785018	3.958346	Anas platyrhynchos
\	1491.618774	2811.427490
4.167953	4.244541	Gallinula chloropus
\	2158.589844	2523.012939
4.530735	4.595229	Gallinula chloropus
\	2038.678711	2414.393799
4.571044	4.909640	Clamator glandarius
\	1260.545532	1792.283325
4.647631	4.764527	Anas platyrhynchos
\	1813.735107	2387.815430
4.893516	4.949949	Gallinula chloropus
\	2233.042480	2495.508057
5.264359	5.324823	Gallinula chloropus
\	2258.288574	2664.131104
5.449781	5.598924	Anas platyrhynchos
\	1708.289795	2841.651855
5.473966	5.820624	Clamator glandarius
\	1194.472656	1708.289795
5.598924	5.659387	Gallinula chloropus
\	2258.288574	3725.699707
5.985891	6.038292	Gallinula chloropus
\	2045.122437	3595.507568
6.147127	6.308363	Anas platyrhynchos
\	1454.372070	2468.237793
6.308363	6.360765	Gallinula chloropus
\	2395.508057	2715.204346
6.489753	6.860596	Clamator glandarius
\	1243.814575	1729.019043
6.675175	6.727577	Gallinula chloropus
\	2231.016113	2605.129395
6.844473	7.017802	Anas platyrhynchos
\	1417.758301	2841.651855
7.259656	7.312058	Gallinula chloropus
\	2328.631836	2678.111328
7.505541	7.916693	Clamator glandarius
\	1162.275757	1708.289795
7.533757	7.582128	Gallinula chloropus
\	2295.737061	2790.616943
7.582128	7.759488	Anas platyrhynchos
\	1813.735107	2722.292969
7.932817	7.973126	Gallinula chloropus
\	2045.122437	3642.673584
8.299629	8.343969	Gallinula chloropus
\	2015.307007	3502.704590
8.299629	8.501174	Anas platyrhynchos
\	1328.922974	2811.427490
8.634194	9.077593	Clamator glandarius
\	1130.626221	1749.926514
8.726904	8.787368	Gallinula chloropus
\	2075.264893	3642.673584
9.045346	9.210613	Anas platyrhynchos
\	1243.814575	2468.237793
9.150149	9.190458	Gallinula chloropus
\	2105.738770	3457.058350
9.561301	9.605641	Gallinula chloropus
\	2263.200439	2678.111328
9.770908	9.948268	Anas platyrhynchos
\	1399.685425	2664.131104
9.948268	10.004701	Gallinula chloropus
\	2075.264893	3548.853027
10.528718	10.710109	Anas platyrhynchos
\	1277.420532	2722.292969
11.346991	11.500166	Anas platyrhynchos
\	1346.386963	2811.427490
11.951627	12.080616	Anas platyrhynchos
\	1328.922974	2361.463867
13.858244	14.204901	Clamator glandarius
\	1162.275757	1749.926514
14.809537	15.148133	Clamator glandarius
\	1115.003784	1647.157471
15.825324	16.180044	Clamator glandarius
\	1162.275757	1687.737549
16.824988	17.228078	Clamator glandarius
\	1146.383179	1667.360718
17.921394	18.348669	Clamator glandarius
\	1115.003784	1729.019043
19.074232	19.541817	Clamator glandarius
\	1162.275757	1647.157471
21.367815	21.597577	Gallinula chloropus
\	588.223511	2902.883301
