2.595474	3.306689	Pluvialis squatarola
\	2267.974365	3150.848877
3.985576	4.803012	Pluvialis squatarola
\	2502.186768	3027.515625
4.996980	5.948346	Pluvialis squatarola
\	2366.177246	2987.288574
6.022238	6.590287	Pluvialis squatarola
\	2141.913086	3109.291504
6.484066	7.250701	Pluvialis squatarola
\	2572.436768	3150.848877
7.370776	7.869550	Pluvialis squatarola
\	2021.205811	2537.121582
7.735620	8.442217	Pluvialis squatarola
\	2300.354492	3027.515625
8.557674	9.425911	Pluvialis squatarola
\	2333.087158	2908.132568
