0.124171	0.940688	Turdus merula
\	1808.703979	3026.465576
0.553124	0.692346	Cyanistes caeruleus
\	5320.217285	13905.892578
1.256759	3.442916	Fringilla coelebs
\	1445.830444	6363.554199
1.354590	1.512626	Cyanistes caeruleus
\	5233.378906	13905.892578
1.576592	1.749679	Cyanistes caeruleus
\	4980.307617	13695.210938
2.069513	2.257650	Cyanistes caeruleus
\	5063.442383	13487.565430
2.694129	2.874741	Cyanistes caeruleus
\	4980.307617	13487.565430
2.942471	3.115557	Cyanistes caeruleus
\	4506.083984	13282.917969
3.552036	5.121103	Turdus merula
\	1477.235962	3250.202881
3.725123	3.886921	Cyanistes caeruleus
\	4980.307617	13282.917969
