0.448656	0.586963	Linaria cannabina
\	1355.926392	7855.808594
1.136820	1.221154	Linaria cannabina
\	1727.674438	8476.010742
1.838477	2.010518	Linaria cannabina
\	1563.589233	8476.010742
2.216293	2.378214	Linaria cannabina
\	1543.874512	9854.544922
2.816750	3.208059	Linaria cannabina
\	1623.779663	7781.291016
4.122237	4.284158	Linaria cannabina
\	1504.958130	8316.866211
5.670606	5.738073	Linaria cannabina
\	2092.389893	10819.416992
5.937101	6.129382	Linaria cannabina
\	1644.196655	10619.632812
6.530811	6.611772	Linaria cannabina
\	1664.792969	10619.632812
6.898507	7.721605	Sylvia communis
\	2428.703857	7781.291016
7.721605	7.816059	Linaria cannabina
\	2898.736328	4971.569824
7.954366	8.453622	Sylvia communis
\	4542.172852	7561.609863
8.487356	8.652650	Linaria cannabina
\	1466.717041	7707.421387
