2.370715	2.566869	Burhinus oedicnemus
\	2051.775879	4486.002441
3.351487	3.440648	Burhinus oedicnemus
\	1983.793701	4573.211426
3.701969	3.858893	Burhinus oedicnemus
\	2168.927734	5079.759766
4.094278	4.458055	Burhinus oedicnemus
\	2121.480225	5079.759766
4.682741	5.328268	Burhinus oedicnemus
\	1939.408081	5176.955078
5.599318	6.280508	Burhinus oedicnemus
\	2074.816895	6128.668457
6.526593	7.207784	Burhinus oedicnemus
\	2098.051270	6243.502930
7.461001	7.806947	Burhinus oedicnemus
\	2392.511963	6071.964844
8.056598	8.381144	Burhinus oedicnemus
\	2192.949707	5176.955078
8.573732	8.705690	Burhinus oedicnemus
\	2074.816895	6360.267578
