0.832834	1.103278	Anas platyrhynchos
\	289.614258	10358.631836
1.230354	1.497539	Anas platyrhynchos
\	331.851562	8367.403320
1.637648	1.872250	Anas platyrhynchos
\	321.126160	8367.403320
1.992807	2.192822	Anas platyrhynchos
\	269.148529	8179.884277
2.359959	2.538055	Anas platyrhynchos
\	289.614258	7905.852051
2.764599	2.855017	Anas platyrhynchos
\	457.532501	5927.479492
8.000623	8.271877	Anas platyrhynchos
\	249.105911	7640.274414
8.397914	8.649988	Anas platyrhynchos
\	279.327911	7215.735840
8.773285	9.047279	Anas platyrhynchos
\	300.008698	7133.457031
9.162357	9.354153	Anas platyrhynchos
\	279.327911	7215.735840
9.496629	9.625407	Anas platyrhynchos
\	519.613708	6580.962402
11.063875	11.228271	Anas platyrhynchos
\	598.521545	6282.926270
11.746120	11.935175	Anas platyrhynchos
\	558.449280	6505.282227
12.368086	12.606461	Anas platyrhynchos
\	532.423889	6067.434082
13.044851	13.247606	Anas platyrhynchos
\	545.368530	6580.962402
