0.394863	2.497665	Parus major
\	2713.478271	4848.882324
0.435603	0.686309	Turdus merula
\	5025.574219	9055.456055
1.902237	2.300234	Turdus merula
\	4848.882324	8607.378906
2.369178	2.895662	Corvus corone
\	1067.318115	2172.917480
2.823584	3.174573	Turdus merula
\	1535.710693	4194.989258
3.133833	4.026976	Turdus merula
\	3292.678467	7382.894531
3.218447	3.472287	Corvus corone
\	1272.249268	2128.241211
3.942362	4.167998	Corvus corone
\	934.109314	2084.259766
4.026976	4.735222	Turdus merula
\	1433.022461	3618.151855
4.760293	8.408075	Troglodytes troglodytes
\	2934.327148	8462.642578
5.759986	7.712364	Parus major
\	2991.737061	5025.574219
