1.164528	1.664533	Parus major
\	1374.934326	12198.458984
1.900019	2.006472	Parus major
\	6557.655273	8118.326660
2.409702	2.812932	Passer domesticus
\	2599.200928	5793.207520
3.819394	3.925847	Passer domesticus
\	2538.565186	4401.865234
4.222624	4.300044	Parus major
\	6625.283203	7876.338379
6.041997	6.806521	Parus major
\	1317.994995	14261.917969
7.100072	7.435560	Passer domesticus
\	2363.261963	6228.766113
8.003308	8.125889	Passer domesticus
\	2723.900879	5556.722656
8.400086	8.474280	Parus major
\	4949.864258	5793.207520
