0.169230	0.226296	Linaria cannabina
\	1619.894531	6729.827637
0.261716	0.344363	Linaria cannabina
\	1285.315308	8801.163086
0.364041	0.450624	Linaria cannabina
\	1385.398926	8053.412109
0.466366	0.549013	Linaria cannabina
\	1437.316895	7701.903320
0.564755	0.645435	Linaria cannabina
\	1402.563110	7233.380371
0.684791	0.757599	Linaria cannabina
\	1419.868896	7497.812012
1.153124	1.517165	Linaria cannabina
\	1419.868896	8345.178711
1.562425	1.625394	Linaria cannabina
\	1526.735229	6490.168457
1.660814	1.731654	Linaria cannabina
\	1697.220581	5816.580566
1.818237	1.881206	Linaria cannabina
\	1600.956177	5658.284180
2.115373	2.160633	Linaria cannabina
\	1545.062866	4831.221191
